issuer_name,investment_description,asset_type,par_value,cost,current_value,units_or_shares,page_number,row_id,pdf_name,pdf_stem,sponsor_ein,plan_number,plan_year,sponsor,plan_name
,13D ACTIVIST FUND CLA,Mutual Fund,,,362,,31,2,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,13D ACTIVIST FUNDCL I,Mutual Fund,,,"2,543",,31,3,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AB LARGE CAP GROWTHCLASS A,Mutual Fund,,,"41,416",,31,4,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AB LARGE CAPGROWTH CL C,Mutual Fund,,,21,,31,5,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AB SMALL CAP GROWTHPORT CLASS A,Mutual Fund,,,"5,428",,31,6,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,ABBEY CAPITAL MULTIASSET FUND CLASS I,Mutual Fund,,,"5,183",,31,7,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,ABERDEEN CHINA ASHARE EQ INSTL SVC,Mutual Fund,,,"23,881",,31,8,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,ABERDEEN CHINA ASHARE EQUITY CL A,Mutual Fund,,,"30,281",,31,9,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,ABERDEEN DYNAMICDIVIDEND CL A,Mutual Fund,,,"7,579",,31,10,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,ABERDEEN EMERGINGMARKETS FD INSTL CL,Mutual Fund,,,"1,859",,31,11,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,ABERDEEN EMERGINGMRKTS FD INSTL SV CL,Mutual Fund,,,"2,872",,31,12,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,ABERDEEN GLOBALINFRASTRUCTURE INSTL,Mutual Fund,,,"3,540",,31,13,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,ABERDEEN U.S. SMALLCAP EQUITY FD CL A,Mutual Fund,,,"15,908",,31,14,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,ABERDEEN US SUSTAINLEADERS FUND CL A,Mutual Fund,,,"1,108",,31,15,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,ABR DYNAMIC BLEND EQ& VOLATILITY INVST,Mutual Fund,,,"10,728",,31,16,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,ACADIAN EMERGINGMARKETS PORT INVSTR,Mutual Fund,,,"11,494",,31,17,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,ADV PREFERRED GOLDBULLION STRAT INV,Mutual Fund,,,"523,317",,31,18,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,ADVISORS PREFERREDQUANTIFIED STF INVST,Mutual Fund,,,"40,850",,31,19,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,ADVISORS PREFERREDSPECTRUM LOW VOL INV,Mutual Fund,,,"2,498",,31,20,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AEGIS VALUE FUND INC,Mutual Fund,,,"46,150",,31,21,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AKRE FOCUS FUNDINSTL,Mutual Fund,,,"401,525",,31,22,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AKRE FOCUS FUNDRETAIL,Mutual Fund,,,"1,113,191",,31,23,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,ALGER DYNAMICOPPORTUNITIES CL A,Mutual Fund,,,275,,31,24,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,ALGER GROWTH&INCOMECLASS A,Mutual Fund,,,642,,31,25,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,ALGER HEALTHSCIENCES FD CL A,Mutual Fund,,,"17,750",,31,26,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,ALGER RESPONSIBLEINVESTING FUND CL A,Mutual Fund,,,"14,335",,31,27,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,ALGER SMALL CAPFOCUS CLASS A,Mutual Fund,,,"71,559",,31,28,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,ALGER SMALL CAPFOCUS CLASS Z,Mutual Fund,,,"1,032",,31,29,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,ALGER SMALL CAPGROWTH CL Z,Mutual Fund,,,"67,726",,31,30,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,ALGER SPECTRA CL Z,Mutual Fund,,,"125,736",,31,31,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,ALLSPRING CORE PLUSBOND FUND A,Mutual Fund,,,"2,148",,31,32,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,ALLSPRING CORE PLUSBOND FUND INST,Mutual Fund,,,"4,086",,31,33,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,ALLSPRING DIVRSFDCAP BUILDER FD A,Mutual Fund,,,"435,525",,31,34,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,ALLSPRING DIVRSFDINCME BUILD FD A,Mutual Fund,,,"1,477",,31,35,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,ALLSPRING INDEXFUND A,Mutual Fund,,,"53,982",,31,36,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,ALLSPRING PRECIOUSMETALS FUND A,Mutual Fund,,,"823,268",,31,37,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,ALLSPRING PRECIOUSMETALS FUND INST,Mutual Fund,,,"68,563",,31,38,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,ALLSPRING SHORT TERMBOND PLUS FD A,Mutual Fund,,,"1,191",,31,39,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,ALLSPRING SHORT TERMHIGH INCOME INSTL,Mutual Fund,,,"1,257",,31,40,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,ALLSPRING SPECIALGLOBAL SMALL CAP C,Mutual Fund,,,"1,936",,31,41,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,ALLSPRING SPECIALMID CAP VLUE FD A,Mutual Fund,,,"25,069",,31,42,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,ALLSPRING SPECTRUMAGRSSIV GRTH FD INST,Mutual Fund,,,"1,628",,31,43,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,ALLSPRING UTILITY &TELECOMMS FUND A,Mutual Fund,,,"26,849",,31,44,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,ALPHACENTRIC LIFESCIENCE & HLTHCARE I,Mutual Fund,,,"33,358",,31,45,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,ALPHACENTRIC ROBOTICAND AUTOMATION I,Mutual Fund,,,"116,740",,31,46,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,ALPS CORECOMM MGMTCOMP COMM STRT INV,Mutual Fund,,,"7,009",,31,47,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,ALPS SMITH TOTALRETURN BOND CL I,Mutual Fund,,,"73,358",,31,48,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,ALPS/KOTAK INDIAESG FUND INVESTOR,Mutual Fund,,,"15,401",,31,49,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMANA DEVELOPINGWORLD FUND,Mutual Fund,,,"12,851",,32,1,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMANA DEVELOPINGWORLD INSTITUTIONAL,Mutual Fund,,,"18,329",,32,2,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMANA GROWTH FUNDINSTITUTIONAL,Mutual Fund,,,"44,837",,32,3,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMANA INCOME FUNDINSTITUTIONAL,Mutual Fund,,,"38,435",,32,4,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMANA MUTUAL FUNDTRUST GROWTH,Mutual Fund,,,"867,555",,32,5,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMANA MUTUAL FUNDTRUST INCOME,Mutual Fund,,,"192,239",,32,6,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMANA PARTICIPATIONFD INSTITUTIONAL CL,Mutual Fund,,,"2,213",,32,7,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMANA PARTICIPATIONFD INVESTOR CLASS,Mutual Fund,,,"605,351",,32,8,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMCAP FUND F3,Mutual Fund,,,"385,493",,32,9,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMER BEACON SHAPIROSMID CAP EQ INV,Mutual Fund,,,"3,243",,32,10,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMERICAN 2020 TARGETDATE RETIREMNT F1,Mutual Fund,,,115,,32,11,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMERICAN 2035 TARGETDATE RETIREMNT F1,Mutual Fund,,,"157,061",,32,12,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMERICAN 2040 TARGETDATE RETIREMNT F1,Mutual Fund,,,"13,052",,32,13,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMERICAN 2050 TARGETDATE RETIREMNT F1,Mutual Fund,,,"4,505",,32,14,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMERICAN 2055 TARGETDATE RETIREMNT F1,Mutual Fund,,,"6,235",,32,15,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMERICAN AMCAP FUNDCLASS F1,Mutual Fund,,,"58,956",,32,16,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMERICAN AMCAPCLASS A,Mutual Fund,,,"21,173",,32,17,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMERICAN BALANCEDCLASS A,Mutual Fund,,,"18,661",,32,18,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMERICAN BALANCEDCLASS F1,Mutual Fund,,,"1,004,767",,32,19,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMERICAN BALANCEDFUND F2,Mutual Fund,,,"50,142",,32,20,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMERICAN BEACON AHLMNGD FUTURES STRAT Y,Mutual Fund,,,"25,610",,32,21,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMERICAN BEACON ARKTRANS INNOVTN INVSTR,Mutual Fund,,,"991,154",,32,22,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMERICAN BEACON DEVWORLD INCOME INV,Mutual Fund,,,"7,454",,32,23,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMERICAN BEACON FEACFLOATING RT INC INV,Mutual Fund,,,589,,32,24,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMERICAN BEACON SIMHIGH YLD OPPS INVEST,Mutual Fund,,,"9,952",,32,25,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMERICAN BEACON SSIALTERNATIVE INC INV,Mutual Fund,,,"10,802",,32,26,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMERICAN BEACON THELONDON CO INC EQ INV,Mutual Fund,,,"1,026",,32,27,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMERICAN BEACONBALANCED INVST,Mutual Fund,,,"28,474",,32,28,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMERICAN BEACONSHAPIRO EQ OPPOR INV,Mutual Fund,,,348,,32,29,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMERICAN BEACONTOCQUEVILLE INT VAL,Mutual Fund,,,"103,048",,32,30,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMERICAN BOND FUNDOF AMERICA CLASS A,Mutual Fund,,,"9,575",,32,31,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMERICAN CAPITALINCOME BUILDER CL A,Mutual Fund,,,"12,230",,32,32,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMERICAN CAPITALINCOME BUILDER CL F1,Mutual Fund,,,"11,935",,32,33,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMERICAN CAPITALWORLD GRTH & INC A,Mutual Fund,,,"15,520",,32,34,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMERICAN CAPITALWORLD GRWTH & INC F1,Mutual Fund,,,"51,819",,32,35,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMERICAN CEN FOCUSEDDYNAMIC GROWTH INV,Mutual Fund,,,"278,281",,32,36,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMERICAN CENTURY MIDCAP VALUE INV SHS,Mutual Fund,,,"3,696",,32,37,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMERICAN CENTURY SHTDUR STRAT INC INV,Mutual Fund,,,"210,093",,32,38,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMERICAN CENTURY SMLCAP VAL CLASS I,Mutual Fund,,,"17,623",,32,39,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMERICAN CENTURYEMERGING MARKETS INV,Mutual Fund,,,"21,490",,32,40,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMERICAN CENTURYEQUITY INCOME INV CL,Mutual Fund,,,"66,300",,32,41,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMERICAN CENTURYGLOBAL GOLD CL A,Mutual Fund,,,"2,436",,32,42,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMERICAN CENTURYGLOBAL GOLD INV CL,Mutual Fund,,,"989,346",,32,43,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMERICAN CENTURYINFLN ADJ BOND INV,Mutual Fund,,,"2,937",,32,44,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMERICAN CENTURYLARGE CAP EQUITY INV,Mutual Fund,,,"74,449",,32,45,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMERICAN CENTURYSELECT INVESTOR CL,Mutual Fund,,,77,,32,46,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMERICAN CENTURYSMALL CAP GRWTH INV,Mutual Fund,,,"28,920",,32,47,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMERICAN CENTURYSMALL CAP VALUE INV,Mutual Fund,,,"205,135",,32,48,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMERICAN CLASS EMERGMARKETS BOND F-1,Mutual Fund,,,"60,520",,33,1,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMERICAN CORPORATEBOND FUND CL F1,Mutual Fund,,,"99,047",,33,2,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMERICAN EUROPACIFICGROWTH CLASS A,Mutual Fund,,,"59,076",,33,3,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMERICAN EUROPACIFICGROWTH CLASS F1,Mutual Fund,,,"15,580",,33,4,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMERICAN EUROPACIFICGROWTH FUND CL F2,Mutual Fund,,,"14,586",,33,5,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMERICAN EUROPACIFICGROWTH FUND F3,Mutual Fund,,,"291,234",,33,6,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMERICAN FUNDAMENTALINVESTORS CL F1,Mutual Fund,,,"146,726",,33,7,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMERICAN FUNDAMENTALINVESTORS CLASS A,Mutual Fund,,,"1,445",,33,8,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMERICAN FUNDS 2035TARG DATE - R6,Mutual Fund,,,"1,887",,33,9,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMERICAN FUNDS CONVGRWTH & INCM PORT F1,Mutual Fund,,,"131,375",,33,10,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMERICAN FUNDS GRWTH& INC PORTFOLIO F1,Mutual Fund,,,"9,580",,33,11,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMERICAN FUNDS INFLTLINKED BOND CL F1,Mutual Fund,,,944,,33,12,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMERICAN FUNDS INFLTLINKED BOND CL F2,Mutual Fund,,,"14,855",,33,13,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMERICAN FUNDSGROWTH PORT F1,Mutual Fund,,,"51,164",,33,14,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMERICAN GROWTH FUNDOF AMERICA CL F2,Mutual Fund,,,"122,268",,33,15,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMERICAN GROWTH FUNDOF AMERICA CLASS A,Mutual Fund,,,"29,902",,33,16,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMERICAN GROWTH FUNDOF AMERICA CLASS F1,Mutual Fund,,,903,,33,17,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMERICAN HIGH INCOMECLASS F1,Mutual Fund,,,"184,672",,33,18,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMERICAN HIGH INCOMETRUST CLASS A,Mutual Fund,,,"4,441",,33,19,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMERICAN INCOME FUNDOF AMERICA CLASS A,Mutual Fund,,,"13,475",,33,20,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMERICAN INTERNATLGROWTH & INCOME CL A,Mutual Fund,,,"4,211",,33,21,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMERICAN INVESTMENTCO OF AMERICA CL F1,Mutual Fund,,,"224,091",,33,22,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMERICAN INVESTMNTCO OF AMERICA CL A,Mutual Fund,,,"108,010",,33,23,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMERICAN MUTUAL FUNDCLASS A,Mutual Fund,,,"1,092",,33,24,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMERICAN MUTUAL FUNDCLASS F1,Mutual Fund,,,"726,458",,33,25,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMERICAN NEW WORLDCLASS F1,Mutual Fund,,,"196,479",,33,26,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMERICAN NEW WORLDFUND CL F2,Mutual Fund,,,"22,802",,33,27,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMERICAN NEW WORLDFUND CLASS A,Mutual Fund,,,"46,466",,33,28,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMERICAN NEW WORLDFUND F3,Mutual Fund,,,"5,122",,33,29,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMERICAN NEWPERSPECTIVE CL F2,Mutual Fund,,,"12,665",,33,30,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMERICAN NEWPERSPECTIVE CLASS A,Mutual Fund,,,261,,33,31,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMERICAN NEWPERSPECTIVE CLASS F1,Mutual Fund,,,"167,264",,33,32,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMERICAN SHORT TERMBOND FD CL F1,Mutual Fund,,,"7,411",,33,33,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMERICAN SMALL CAPWORLD CLASS A,Mutual Fund,,,"14,232",,33,34,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMERICAN SMALLCAPWORLD CLASS F1,Mutual Fund,,,"2,848",,33,35,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMERICAN STRATEGICBOND FUND F1,Mutual Fund,,,433,,33,36,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMERICAN WASHINGTONMUTUAL INVESTORS F1,Mutual Fund,,,"264,739",,33,37,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMERICAN WASHINGTONMUTUAL INVESTORS F2,Mutual Fund,,,"62,304",,33,38,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMG FRONTIERSMALL CAP GROWTH I,Mutual Fund,,,"230,248",,33,39,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMG GW&K ESG BONDFUND N,Mutual Fund,,,"20,355",,33,40,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMG RIVER ROAD LRGCAP VALUE SELECT I,Mutual Fund,,,"12,272",,33,41,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMG TIMESSQUAREINTERNL SMALLCAP N,Mutual Fund,,,479,,33,42,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMG VERITAS ASIAPACIFIC FUND N,Mutual Fund,,,"2,582",,33,43,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMG VERITAS CHINAFUND N,Mutual Fund,,,"2,698",,33,44,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMG YACKTMAN FUNDI,Mutual Fund,,,"135,646",,33,45,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMG YACKTMAN GLOBALCLASS I,Mutual Fund,,,"10,409",,33,46,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMG YACKTMAN SPECIALOPPS FD I,Mutual Fund,,,"11,866",,33,47,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMG YACKTMANFOCUSED I,Mutual Fund,,,"70,040",,33,48,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AMG YACKTMANFOCUSED N,Mutual Fund,,,"668,843",,34,1,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,ANCHOR RISK MANAGEDEQUITY STRAT INSTL,Mutual Fund,,,"2,035",,34,2,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,APPLESEED FUND -INSTITUTIONAL,Mutual Fund,,,"18,359",,34,3,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,APPLIED FIN EXPLORERFUND INSTL,Mutual Fund,,,"13,440",,34,4,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,APPLIED FIN EXPLORERFUND INVESTOR,Mutual Fund,,,"82,714",,34,5,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,APPLIED FIN SELECTFUND INVESTOR,Mutual Fund,,,424,,34,6,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AQR ALTERNATIVE RISKPREMIA FUND CL N,Mutual Fund,,,"35,240",,34,7,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AQR DIVERSIFYINGSTRATEGIES FUND CL I,Mutual Fund,,,"91,444",,34,8,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AQR DIVERSIFYINGSTRATEGIES FUND CL N,Mutual Fund,,,"57,576",,34,9,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AQR EQUITY MARKETNEUTRAL FD CL I,Mutual Fund,,,"38,302",,34,10,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AQR EQUITY MARKETNEUTRAL FD CL N,Mutual Fund,,,"73,838",,34,11,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AQR GLOBAL EQUITYFUND CLASS N,Mutual Fund,,,"103,793",,34,12,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AQR GLOBAL MACROOPPORTUNITIES FD I,Mutual Fund,,,"107,873",,34,13,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AQR GLOBAL MACROOPPORTUNITIES FD N,Mutual Fund,,,349,,34,14,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AQR INTERNATIONALMOMENTUM STYLE CL I,Mutual Fund,,,"74,079",,34,15,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AQR LARGE CAP MULTISTYLE CL N,Mutual Fund,,,129,,34,16,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AQR LARGE CAPDEFENSIVE STYLE CL N,Mutual Fund,,,"315,034",,34,17,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AQR LARGE CAPDEFENSIVE STYLE FD I,Mutual Fund,,,"16,904",,34,18,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AQR LARGE CAPMOMENTUM STYLE CL I,Mutual Fund,,,"112,617",,34,19,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AQR LONG SHORTEQUITY CL N,Mutual Fund,,,"475,220",,34,20,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AQR LONG SHORTEQUITY FUND CL I,Mutual Fund,,,"1,491,580",,34,21,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AQR MANAGED FUTURESFUND CL N,Mutual Fund,,,"17,290",,34,22,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AQR MANAGED FUTURESSTRATEGY HV CL I,Mutual Fund,,,"5,807",,34,23,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AQR MANAGED FUTURESSTRATEGY HV CL N,Mutual Fund,,,153,,34,24,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AQR MULTI-ASSET FUNDCLASS N,Mutual Fund,,,"8,399",,34,25,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AQR RISK BALANCEDCOMMOD STRATEGY FD I,Mutual Fund,,,"41,200",,34,26,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
,AQR RISK BALANCEDCOMMOD STRATEGY FD N,Mutual Fund,,,"111,314",,34,27,Fidelity_401K _5500.pdf,Fidelity_401K _5500,,001,2024,,
